KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
7928,ÅRØYHAUGEN BARNEHAGE 2024,POSTBOKS 1521,6025.0,ÅLESUND,ÅRØYVEGEN 12
7929,SKODJE OMSORGS. KJØKKEN 2024,POSTBOKS 1521,6025.0,ÅLESUND,ÅDALSBAKKEN 6
7931,ELLINGSØY BARNEHAGE 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,GRØNEBELGVEGEN 1
7932,FREMMERHOLEN BARNEHAGE 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,HOLSMYRVEIEN 48
7933,VALLE BARNEHAGE 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,"NEDRESKODJEVEGEN 12,PRESTEM.BH"
7934,HATLAHAUGEN DAGSENTER 2024,REGNSKAP OG FINANS,6025.0,ÅLESUND,HATLAHAUGEN 2
7935,FAGERLIA BARNEHAGE,REGNSKAP OG FINANS,6025.0,ÅLESUND,FAGERLIBAKKEN 11
7806,EIDET OMSORGS. KJØKKEN 2024,,,,TROLLDALSSLETTA 12
7807,HARAM OMSORGSSENTER 1 ETG 2024,,6270.0,BRATTVÅG,BERNT HILDRE VEGEN 4
7808,TENNFJORD BARNEHAGE,,,,TROLLDALSSLETTA 18
7809,SØVIK BARNEHAGE 2024,,,,PLASSEN 19
7810,HARAMSØY BARNEHAGE 2024,POSTBOKS 33,6282.0,BRATTVÅG,BARNEHAGEVEGEN 66
7936,SANDØYTUNET HOVUDKJØKKEN 2024,POSTBOKS 1521,6025.0,ÅLESUND,AUSTREVEGEN
9258,NOR F. COLOR LINE,POSTVEGEN 15 AVD COL.LINE,6018.0,ÅLESUND,SJØMANNSVEGEN 14
8070,NOR F. POSTVEGEN 17,"POSTVEGEN 15, AVD POSTV17",6018.0,ÅLESUND,POSTVEGEN 17
8071,NOR F. POSTVEGEN 11,LERSTADVEGEN 519(POSTV 11),6018.0,ÅLESUND,POSTVEGEN 11
9259,PULS NORGE AVD ÅLESUND,POSTBOKS 32,4001.0,STAVANGER,"TVERRVEIEN 30, BLINDHEIM"
9295,FERGEKAIA PLUTO,EIKREMSVEGEN 18,6036.0,MAUSEIDVÅG,FOGD GREVESVEG 3
6822,ULLAVIK BARNEHAGE,KYRKJEVEGEN 62,6230.0,SYKKYLVEN,ULLAVIKLIA 23
7937,STORHAUGEN BARNEHAGE,REGNSKAP OG FINANS,6025.0,ÅLESUND,STORHAUGGT. 9
7938,YSTENESET BOLIGER,REGNSKAP OG FINANS,6025.0,ÅLESUND,YSTENESGATA  43
7939,RABBEVÅGEN BARNEHAGE,REGNSKAP OG FINANS,6025.0,ÅLESUND,VEGSUNDVEIEN 62
8261,M SUPPLY2  ÅLESUND,POSTBOKS 7699 SPJELKAVIK,6022.0,ÅLESUND,TVERRVEGEN 32 C
8262,M SUPPLY3 ÅLESUND,POSTBOKS 7699 SPJELKAVIK,6022.0,ÅLESUND,TVERRVEGEN 32 C
8263,M SUPPLY4 ÅLESUND,POSTBOKS 7699 SPJELKAVIK,6022.0,ÅLESUND,TVERRVEGEN 32 C
9296,HARBOUR GIFTSHOP ÅLESUND,NØRVEGJERDET 12,6009.0,ÅLESUND,LORKENESGATA 1
5854,KRÅEN GARD AS,HALLEBYGDA 253,6084.0,LARSNES,HALLEBYGDA 253
4048,BOREAS SEAFOOD,KILDEHAUGEN 10,6037.0,EIDSNES,KILDEHAUGEN 10
7941,ØHD-ÅLES.LOKALMED.SENTER,REGNSKAP OG FINANS,6025.0,ÅLESUND,"ÅSESVINGEN 16,2.ETG"
